date,region,price_index,CLS_ID,CLS_NM,CLS_FULLNM,WRTTIME_DESC,WRTTIME_IDTFR_ID,mom_pct,yoy_pct,base_rate,loan_rate,household_loan,price_yoy,loan_yoy,base_rate_lag3,loan_rate_lag3,construction_start_area_sqm,completion_proxy_sqm,completion_proxy_yoy,sale_listings,jeonse_listings,wolse_listings,total_listings,sale_share_pct,total_listings_yoy,sale_listings_yoy
2015-01-01,서울,77.8736567994102,500007,서울,서울,2015년 1월,201501,,,2.0,2.09,520054.3,,,,,7573378.0,4459485.449140159,1984.0577806275583,,,,,,,
2015-02-01,서울,78.4940604721268,500007,서울,서울,2015년 2월,201502,0.7966797736424169,,2.0,2.04,523445.6,,,,,7242589.0,5037232.832345537,1513.4392602144792,,,,,,,
2015-03-01,서울,79.3663877105405,500007,서울,서울,2015년 3월,201503,1.111328975933734,,1.75,1.92,527436.2,,,,,13221900.0,5598856.820654345,1159.0888538577267,,,,,,,
2015-04-01,서울,80.1505104156247,500007,서울,서울,2015년 4월,201504,0.9879783214324922,,1.75,1.78,536171.1,,,2.0,2.09,13790440.0,6130877.135905803,891.3678957634511,,,,,,,
2015-05-01,서울,80.8220910984662,500007,서울,서울,2015년 5월,201505,0.8378994461282874,,1.75,1.75,537792.3,,,2.0,2.04,13070641.0,6622458.27952291,688.3319196899052,,,,,,,
2015-06-01,서울,81.3711558450401,500007,서울,서울,2015년 6월,201506,0.6793498400146092,,1.5,1.67,527229.6,,,1.75,1.92,15749127.0,7066172.371251461,533.6619677349677,,,,,,,
2015-07-01,서울,82.429328880868,500007,서울,서울,2015년 7월,201507,1.3004276820683724,,1.5,1.57,528315.2,,,1.75,1.78,12217332.0,7458071.2376686875,415.3281693417821,,,,,,,
2015-08-01,서울,83.1629497653346,500007,서울,서울,2015년 8월,201508,0.8899998270359255,,1.5,1.55,536144.7,,,1.75,1.75,13205161.0,7797896.431843203,324.40787296715916,,,,,,,
2015-09-01,서울,83.8345669746367,500007,서울,서울,2015년 9월,201509,0.8075918557449491,,1.5,1.54,541547.6,,,1.5,1.67,11045955.0,8088369.378523011,254.25216143056088,,,,,,,
2015-10-01,서울,84.3794157392373,500007,서울,서울,2015년 10월,201510,0.6499094398202621,,1.5,1.58,550156.7,,,1.5,1.57,18130550.0,8334840.495110605,199.91267390483708,,,,,,,
2015-11-01,서울,84.7230972410738,500007,서울,서울,2015년 11월,201511,0.4073049082238267,,1.5,1.66,556491.8,,,1.5,1.55,15959604.0,8544004.145406011,157.69125241249066,,,,,,,
2015-12-01,서울,84.3693606870351,500007,서울,서울,2015년 12월,201512,-0.4175208007707431,,1.5,1.72,563727.8,,,1.5,1.54,11411757.0,8723416.658042174,124.80154015725687,,,,,,,
